Marca;Nombre;Precio_Actual;Precio_Antiguo;Descuento;Valoracion
HP;"
			Portátil gaming - HP Pavilion - 15-ec0004ns, 15.6"" FHD, AMD Ryzen™ 5 3550H, 8GB, 512GB, GTX 1650, FDOS, Negro";699,-;Sin descuento;Sin descuento;['value-5']
LENOVO;"
			Portátil - Lenovo S145-15IKB, 15.6 "" HD, Intel® Core™ i3-7020U , 8 GB, 256 GB SSD, Windows 10 Home, Plata";469,-;Sin descuento;Sin descuento;No Valorado
HP;"
			Portátil - HP 15s-fq1008ns, 15.6"" HD, Intel® Core™ i5-1035G1, 8 GB RAM, 512 GB SSD, W10 + Arranque Optimizado";628,-;"


		684,-";"
		Te ahorras: € 56,00";No Valorado
HP;"
			Portátil -  HP Pavilion 14-ce3003ns, 14"" Full HD, Intel® Core™ i5-1035G1, 8GB RAM 512GB, W10Home, Blanco";769,-;Sin descuento;Sin descuento;No Valorado
ACER;"
			Portátil - Acer A514-52-334A, 14"" HD, Intel® Core™ i3-10110U, 8 GB RAM, 256 GB SSD, W10, Plata";469,-;"


		499,-";"
		Te ahorras: € 30,00";No Valorado
HP;"
			Portátil - HP Notebook - 15-db0083ns, 15.6"" HD, AMD A4-9125 Dual-Core, 8GB RAM, 256 GB SSD, Windows 10, Blanco";325,-;Sin descuento;Sin descuento;No Valorado
LENOVO;"
			Portátil - Lenovo S340-15IIL, 15.6"" Full HD, Intel® Core™ i5-1035G1, 8 GB, 1 TB SSD, Windows 10 Home, Gris";729,-;"


		806,-";"
		Te ahorras: € 77,00";['value-5']
ASUS;"
			Portátil - ASUS VivoBook 15 S512DA-BR658T, 15.6"", HD, AMD® R3-3200U, 8GB, 256GB SSD, Raedon Vega 3, W10";429,-;"


		473,-";"
		Te ahorras: € 44,00";No Valorado
HP;"
			Portátil - HP 15s-fq1009ns, 15.6"" HD, Intel® Core™ i3-1005G1, 8GB RAM, 256GB SSD, Windows 10, Plata";499,-;"


		526,-";"
		Te ahorras: € 27,00";No Valorado
ASUS;"
			Portátil gaming- ASUS ROG Strix G G531GU-AL529, 15.6"", FHD, i7-9750H, 32GB, 512GB SSD, GTX™ 1660Ti, Freedos";1199,-;Sin descuento;Sin descuento;['value-5']
HP;"
			Portátil - HP 14-dk0004ns, 14"" HD, AMD A9-9425, 8 GB, SSD 512 GB, AMD Radeon™ R5, W10 + Arranque Optimizado";458,-;Sin descuento;Sin descuento;No Valorado
